game_id,game_date,principal_team,opponent_team,home_team,principal_score,opponent_score,delta_field_goals_pct,delta_avg_off_rebounds,delta_avg_free_throws_att,delta_avg_free_throws_pct,delta_avg_turnovers,delta_win_pct,game_result
47afab1f-c4e1-4a38-b0fb-d5bd8964df0c,11/17/2015,Northern Arizona,Boise State,FALSE,81,101,-0.187,9,18,0.066,4,0,FALSE
7107e3b5-b51a-4899-8005-7fb9820dd8fb,11/17/2015,Tennessee State,Ohio,FALSE,67,75,0.044,-5,-6,0.086,3,0,FALSE
e171c8db-e86f-4952-a5f9-f7e4b09ea724,11/17/2015,South Carolina,Oral Roberts,TRUE,84,66,-0.039,8,10,-0.06,6,0,TRUE
235b609b-abbb-4053-b101-0371603e4820,11/17/2015,San Jose State,Montana,TRUE,64,61,-0.187,5,-11,-0.134,1,-1,TRUE
8460347a-1c8c-46ce-a1ae-4db8eaa1f364,11/17/2015,Colorado,Auburn,FALSE,91,84,-0.066,-2,-20,-0.138,4,-1,TRUE
049e8267-0e65-43fd-9a29-11f55479d4fd,11/17/2015,Tennessee,Georgia Tech,FALSE,67,69,-0.077,-10,3,0.083,5,0,FALSE
1627704b-b7a5-47cd-ad17-8fff12ad74be,11/17/2015,Florida,North Carolina A&T,TRUE,104,54,0.228,6,1,-0.141,7,1,TRUE
39287140-388e-4aef-9a62-79dc461ee004,11/17/2015,Vanderbilt,Gardner-Webb,TRUE,98,62,0.127,4,-6,-0.181,-8,1,TRUE
f2a8ed4c-7c92-45d5-adb0-0e2d8bfa39c3,11/17/2015,Canisius,Lehigh,TRUE,98,89,0.191,1,-13,-0.015,-3,0,TRUE
c848c6db-bef3-440b-9874-731ad6fae706,11/17/2015,Morgan State,Towson,FALSE,61,69,-0.037,-10,-22,-0.061,0,0,FALSE
f1a7bcc1-fe81-49aa-8f65-011acfa2a06c,11/17/2015,Northern Iowa,Stephen F. Austin,TRUE,70,60,0.156,1,-15,0.275,-2,0,TRUE
c8a308df-408a-4f94-8c2a-5e7306600849,11/17/2015,Bradley,Arizona,FALSE,60,90,-0.074,-1,0,-0.187,-2,0,FALSE
2ee3e6f6-79d4-4714-9dcc-6f2c449dc26c,11/17/2015,Charleston,Navy,FALSE,72,58,0.132,-1,23,0.436,2,1,TRUE
54579df3-cf64-4392-8b72-c390c7472076,11/17/2015,Texas A&M,Southeastern Louisiana,TRUE,100,58,0.252,1,7,-0.094,1,1,TRUE
81239ae0-4100-48d1-a4c7-c27346727e82,11/17/2015,Ball State,Eastern Illinois,TRUE,73,56,0.024,7,1,-0.079,-1,0,TRUE
e08598a5-2a65-4ec2-be13-e0d5c08510f3,11/17/2015,Xavier,Missouri,TRUE,78,66,-0.0895,9.5,3,0.0375,6.5,0,TRUE
4ecbe138-5773-4222-a91f-5a3cb748624e,11/17/2015,Rhode Island,Valparaiso,TRUE,55,58,0.069,2.5,-6,-0.299,-0.5,0,FALSE
a24b5a50-4057-46c5-8291-052550fa07d3,11/17/2015,USC,Monmouth,TRUE,101,90,0.103,4,-11,-0.071,7,0,TRUE
