kaggle_school,massey_school,kaggle_id
Denver,Denver,6f676cba-c1f9-45a4-9016-fb408fd525b1
DePaul,DePaul,ee09e6ad-3872-4745-bbb9-ebbd5c6f8318
Detroit Mercy,Detroit,1b78e7f6-f25c-4921-98e2-9bc565f8dfb4
Drake,Drake,aed211c3-23a4-4188-ad70-22c6eba7d765
Drexel,Drexel,f2d01b77-0f5d-4574-9e49-2a3eaf822e44
Duke,Duke,faeb1160-5d15-4f26-99fc-c441cf21fc7f
Duquesne,Duquesne,fea46ac5-6dad-43cd-a770-75554dbcc118
East Carolina,East Carolina,a601205f-3bfe-4052-ac0b-b8f18cf3efd3
Eastern Ill.,E Illinois,23fec4e7-108f-4569-85d1-bef2f794e925
Eastern Ky.,E Kentucky,e48e3dd5-721c-4d96-8ff4-790fe2597bfd
Eastern Mich.,E Michigan,2ed86226-3fff-4083-90fa-6b02307e6f73
Eastern Wash.,E Washington,54df21af-8f65-42fc-bc01-8bf750856d70
Elon,Elon,8accb91e-6086-41b3-a420-7a82fa442365
ETSU,ETSU,d750d88f-f7b8-4bc3-a5f6-36e7a67ec93e
Evansville,Evansville,d8217105-e9c2-4267-9538-3aaeea1ae167
Fairfield,Fairfield,a381465b-4530-4a00-a50c-5253cd7695a0
Fairleigh Dickinson,F Dickinson,b71d5a1b-2671-4e5a-b94b-06bfb22a27dd
FGCU,FL Gulf Coast,5326c079-3dc3-468f-a601-b776dd9c1e62
FIU,Florida Intl,a8ac24ca-3b7a-4610-ad99-042661584c48
Fla. Atlantic,FL Atlantic,c851131a-5ecd-4670-81bc-b40f4837dd65
Florida,Florida,912f8837-1d81-4ef9-a576-a21f271d4c64
Florida A&M,Florida A&M,cec2527e-5e1e-4817-a628-35666ef13b6e
Florida St.,Florida St,d3c8a767-b6fc-45d4-a5f2-18406f2993f1
Fordham,Fordham,7888d144-563d-4f84-b99b-d120aecf1fef
Fort Wayne,IUPU Ft Wayne,22984593-0701-4648-b8a8-f6d695238620
Fresno St.,Fresno St,dd8db4d8-d984-4cab-b7f6-22c6b8c2c45f
Furman,Furman,ca5318f2-48eb-4f6b-896a-966b900aa42f
Ga. Southern,GA Southern,6b955b96-b736-475e-bffd-e4acf2054169
