season,School,team_id,Games,SRS,SOS,win_pct,pts_avg,opp_pts_avg,fg_pct,allow_fg_pct,ft_pct,allow_ft_att_avg,poss_avg,off_rebs_avg,allow_off_rebs_avg,def_rebs_avg,allow_def_rebs_avg,to_avg,steal_avg,off_rating,ft_att_avg
2010,Davidson,2920c5fa-1e86-4958-a7c4-1e97b8e201d8,33,-0.39,-2.17,0.545,72,68,0.434,0.427,0.733,22,79.41818182,12,9,24,22,14,4,90.65934066,20
2010,Dayton,632616c5-2dbb-4017-a449-c9dfc303f026,36,4.87,3.2,0.611,67,65,0.409,0.448,0.677,20,78.67777778,13,10,25,21,13,4,85.15746364,19
2010,Delaware,0affc15f-641d-4211-970d-fb9fb8d36842,31,-3.79,-0.11,0.452,62,66,0.416,0.393,0.691,19,71.43225806,9,13,23,25,11,3,86.79552023,20
2010,Delaware State,ffa04cde-aa2d-4e91-b2cd-bde2bfed44de,30,-12.18,-6.39,0.3,62,65,0.428,0.43,0.714,19,69.67333333,8,13,16,23,11,8,88.98669984,14
2010,Denver,6f676cba-c1f9-45a4-9016-fb408fd525b1,30,-4.04,-3.48,0.433,60,60,0.454,0.437,0.725,19,63.23333333,5,9,18,20,12,5,94.88666315,16
2010,DePaul,ee09e6ad-3872-4745-bbb9-ebbd5c6f8318,31,-1.31,7.53,0.226,67,76,0.426,0.482,0.683,23,79.34193548,10,13,19,26,13,7,84.44462514,19
2010,Detroit Mercy,1b78e7f6-f25c-4921-98e2-9bc565f8dfb4,33,1.88,0.91,0.515,74,72,0.463,0.44,0.687,19,81.64242424,12,10,25,21,15,7,90.63915077,26
2010,Drake,aed211c3-23a4-4188-ad70-22c6eba7d765,31,-2.56,0.76,0.419,64,67,0.427,0.43,0.685,23,71.94193548,7,9,22,25,12,5,88.96063133,19
2010,Drexel,f2d01b77-0f5d-4574-9e49-2a3eaf822e44,31,4.02,-0.01,0.677,63,59,0.424,0.392,0.615,18,75.45806452,13,8,26,20,11,4,83.49008208,22
2010,Duke ,faeb1160-5d15-4f26-99fc-c441cf21fc7f,37,24.51,8.32,0.865,80,64,0.471,0.433,0.753,19,80.63243243,12,11,25,22,12,7,99.21565999,22
2010,Duquesne,fea46ac5-6dad-43cd-a770-75554dbcc118,32,10.33,1.49,0.594,77,68,0.458,0.458,0.622,18,82.83125,12,13,22,24,13,9,92.96008451,24
2010,East Carolina,a601205f-3bfe-4052-ac0b-b8f18cf3efd3,34,1.67,2.99,0.529,68,67,0.425,0.434,0.692,19,74.92941176,10,10,23,23,14,6,90.75208039,25
2010,East Tennessee State,d750d88f-f7b8-4bc3-a5f6-36e7a67ec93e,36,2.08,-2.12,0.667,69,64,0.454,0.437,0.678,17,76.20555556,11,11,24,22,13,6,90.54457972,23
2010,Eastern Illinois,23fec4e7-108f-4569-85d1-bef2f794e925,29,-11.41,-4.89,0.31,60,64,0.421,0.454,0.724,18,73.04827586,10,11,23,22,13,5,82.13746224,16
2010,Eastern Kentucky,e48e3dd5-721c-4d96-8ff4-790fe2597bfd,31,-7.34,-6.48,0.484,66,63,0.446,0.458,0.742,21,69.85806452,8,10,20,23,12,6,94.47728112,16
2010,Eastern Michigan,2ed86226-3fff-4083-90fa-6b02307e6f73,31,-9.11,-3.11,0.29,61,65,0.389,0.413,0.624,18,76.92258065,10,11,24,22,14,6,79.30051162,19
2010,Eastern Washington,54df21af-8f65-42fc-bc01-8bf750856d70,30,-8.5,-2.22,0.333,67,70,0.408,0.446,0.663,28,78.04666667,12,10,22,26,13,5,85.846075,20
2010,Elon,8accb91e-6086-41b3-a420-7a82fa442365,31,-6.54,-3.32,0.452,74,74,0.429,0.426,0.714,20,78.98064516,10,12,23,26,12,5,93.69384088,21
2010,Evansville,d8217105-e9c2-4267-9538-3aaeea1ae167,32,-0.3,1.8,0.5,66,67,0.45,0.486,0.709,22,72.48125,7,10,22,23,12,5,91.05803225,23
2010,Fairfield,a381465b-4530-4a00-a50c-5253cd7695a0,33,2.94,-3.91,0.758,65,58,0.433,0.41,0.654,19,76.71515152,12,11,24,21,13,8,84.72902512,21
2010,Fairleigh Dickinson,b71d5a1b-2671-4e5a-b94b-06bfb22a27dd,29,-13.34,-5,0.172,64,72,0.397,0.434,0.675,21,79.71724138,12,11,24,24,15,5,80.28376157,21
2010,Florida ,912f8837-1d81-4ef9-a576-a21f271d4c64,37,16.27,7.57,0.784,72,63,0.465,0.423,0.669,16,76.55675676,12,10,24,22,12,5,94.04787121,20
2010,Florida A&M,cec2527e-5e1e-4817-a628-35666ef13b6e,32,-16.82,-8.71,0.375,64,68,0.399,0.445,0.606,24,81.2875,13,13,24,25,16,7,78.73289251,22
2010,Florida Atlantic,c851131a-5ecd-4670-81bc-b40f4837dd65,32,-2.41,-2.61,0.656,68,66,0.444,0.443,0.659,22,75.05625,11,11,22,24,11,5,90.59871763,21
2010,Florida Gulf Coast,5326c079-3dc3-468f-a601-b776dd9c1e62,30,-10.27,-3.11,0.333,65,72,0.401,0.432,0.651,21,81.50666667,13,13,23,22,16,6,79.74807787,23
2010,Florida International,a8ac24ca-3b7a-4610-ad99-042661584c48,30,-9.33,-4.23,0.367,71,75,0.438,0.437,0.686,24,79.99333333,11,12,22,22,14,8,88.75739645,26
2010,Florida State ,d3c8a767-b6fc-45d4-a5f2-18406f2993f1,34,13.48,6.45,0.676,69,62,0.435,0.381,0.665,19,80.41176471,12,12,26,21,15,8,85.80833943,21
2010,Fordham,7888d144-563d-4f84-b99b-d120aecf1fef,28,-8.77,1.01,0.25,64,73,0.396,0.426,0.63,20,79.65,13,12,24,25,14,4,80.35153798,17
2010,Fort Wayne,22984593-0701-4648-b8a8-f6d695238620,30,-2.17,-5.17,0.6,74,70,0.457,0.467,0.772,22,75.94,9,9,22,23,12,5,97.44535159,19
