season,School,team_id,Games,SRS,SOS,win_pct,pts_avg,opp_pts_avg,fg_pct,allow_fg_pct,ft_pct,allow_ft_att_avg,poss_avg,off_rebs_avg,allow_off_rebs_avg,def_rebs_avg,allow_def_rebs_avg,to_avg,steal_avg,off_rating,ft_att_avg
2000,Central Michigan,472c22e0-843d-472c-a871-f1593fb0725d,28,0.98,0.02,0.714,71,67,0.488,NULL,0.733,NULL,74.471428571428,9,NULL,23,NULL,15,5,95.3385766353355,25
2000,Charleston Southern,a3fef707-e4fc-48a0-82f1-f4ef01b76f45,29,-16.14,-7.06,0.345,64,71,0.428,NULL,0.64,NULL,80.896551724137,12,NULL,21,NULL,18,9,79.1133844842294,20
2000,"Charlotte ",8ddbfca9-a931-4908-aa31-9fcd17624b5f,33,14.24,7.91,0.667,78,71,0.437,NULL,0.685,NULL,82.630303030303,12,NULL,25,NULL,12,7,94.3963620360863,23
2000,Chattanooga,4c9fb59b-6cec-4b0d-bb0f-628b391d138c,30,-2.13,-3.81,0.567,73,69,0.449,NULL,0.701,NULL,80.273333333333,13,NULL,23,NULL,15,6,90.9392907565821,24
2000,Chicago State,2f8c85a7-54f4-4942-be16-2cbac77c82d7,28,-15.14,-1.29,0.179,63,75,0.43,NULL,0.616,NULL,80.871428571428,12,NULL,22,NULL,17,6,77.9014308426079,16
2000,"Cincinnati ",a17dfc54-415f-49c3-a2e6-d6fa9db18b0a,35,16.19,7.84,0.714,73,65,0.444,NULL,0.697,NULL,78.857142857142,13,NULL,21,NULL,10,5,92.572463768117,21
2000,Citadel,412e7f0d-fb93-4e6e-be1f-9a4c7490d121,28,-6.91,-6,0.571,68,66,0.413,NULL,0.632,NULL,80.928571428571,13,NULL,23,NULL,14,7,84.0247131509272,25
2000,Clemson,dcf5c2e7-c227-4c20-af26-715d5f859412,31,2.73,8.31,0.387,74,79,0.424,NULL,0.702,NULL,85,12,NULL,25,NULL,16,6,87.0588235294118,20
2000,Cleveland State,e30c0417-b220-424e-886e-dd1249e2ca5a,32,2.06,1.56,0.594,68,67,0.422,NULL,0.687,NULL,78.84375,13,NULL,23,NULL,15,6,86.2465319064606,24
2000,Coastal Carolina,4af63ebd-d3c8-4772-bbde-938a078bd057,28,-13.37,-6.62,0.286,70,77,0.439,NULL,0.704,NULL,83.628571428571,12,NULL,20,NULL,18,8,83.7034506320469,21
