market,season,team_id,points_avg,opp_pts_avg,possesion_avg,fg_pct,allow_fg_pct,off_rebs_avg,allow_off_rebs_avg,def_rebs_avg,allow_def_rebs_avg,ft_att_avg,allow_ft_att_avg,ft_pct,turnover_avg,take_away_avg,win_pct,off_rating
Stephen F. Austin,2015,5ef64f01-86ae-4553-9834-c79cc0859eaf,79.066666666666663,64.366666666666674,67.596509799151534,0.47977207977207975,0.44473512099411378,9.9333333333333336,8.3666666666666671,21.2,20.266666666666673,20.066666666666663,20.5,0.74750830564784054,11.733333333333331,17.533333333333328,0.80000000000000016,116.96856376401124
Villanova,2015,4383eb6a-7fd8-4ff2-94c5-43c933121e88,77.95,63.574999999999996,66.686709821759308,0.48331108144192259,0.40320427236315087,7.8999999999999977,8.7999999999999972,24.674999999999994,20.349999999999998,19.15,16.849999999999998,0.78198433420365532,10.625,13.449999999999998,0.87499999999999978,116.88985737689757
Notre Dame,2015,80962f09-8821-48b6-8cf0-0cf0eea56aa8,75.111111111111114,70.583333333333357,64.281428221559949,0.47600391772771794,0.43175487465181056,9.25,9.8333333333333321,22.861111111111107,20.666666666666668,18.638888888888886,15.527777777777779,0.74217585692995525,9.5833333333333339,9.4166666666666679,0.66666666666666641,116.84729662854457
North Carolina,2015,e9ca48b2-00ba-41c0-a02b-6885a2da1ff1,82.774999999999977,70.025,70.859424103490156,0.48223350253807107,0.4165968147527242,12.774999999999999,9.2000000000000028,25.324999999999992,19.200000000000003,20.649999999999991,18.125000000000007,0.74697336561743344,10.649999999999999,12.374999999999996,0.82500000000000018,116.81579556603104
Western Michigan,2013,f2164f01-2cbc-4967-bb1c-93656d790921,71.5625,68.374999999999972,61.303026315789474,0.3,0.43670886075949367,7.3333333333333339,7.666666666666667,20.333333333333332,28.0,19.666666666666668,18.0,0.711864406779661,11.333333333333334,11.333333333333334,0.6875,116.73567244683979
Marquette,2017,06f7c904-0ac7-4125-b0f4-f4871bb69057,81.3142857142857,78.5142857142857,69.681115686767285,0.47525228255646323,0.47761194029850745,7.5142857142857142,7.6857142857142851,21.800000000000008,22.257142857142856,17.142857142857142,22.342857142857142,0.805,11.971428571428573,12.514285714285714,0.6,116.69486763072538
Wake Forest,2016,4fbebf0a-e117-4a0c-8f15-c247535a2a1b,82.818181818181813,78.424242424242422,70.980165084802948,0.47212276214833759,0.45739219712525669,9.0303030303030329,8.2121212121212146,24.333333333333336,22.393939393939384,24.121212121212121,22.424242424242426,0.77763819095477382,11.484848484848488,11.454545454545455,0.57575757575757591,116.67792223254976
Wichita State,2017,f38b58de-3273-4723-a78b-2f918e9aa2d5,82.757575757575751,71.63636363636364,71.007728797785916,0.47635639621702341,0.42091571279916751,10.333333333333336,6.5151515151515156,26.606060606060602,20.363636363636367,21.212121212121207,19.363636363636367,0.73857142857142855,11.454545454545459,11.09090909090909,0.75757575757575757,116.54727894938138
Kansas,2017,fae4855b-1b64-4b40-a632-9ed345e1e952,81.384615384615373,71.871794871794847,69.844273226785589,0.49239222316145392,0.42644628099173554,8.5641025641025621,9.9487179487179489,24.435897435897431,22.000000000000004,16.38461538461538,15.256410256410257,0.70892018779342725,11.435897435897434,12.410256410256409,0.79487179487179482,116.522961188755
Michigan State,2015,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,79.800000000000011,64.142857142857139,68.55399604567981,0.485563041385948,0.38222222222222224,10.942857142857143,7.3142857142857123,28.0,19.428571428571431,17.8,19.714285714285715,0.7287319422150883,11.428571428571427,9.14285714285714,0.82857142857142863,116.40459288008041
Eastern Washington,2014,54df21af-8f65-42fc-bc01-8bf750856d70,79.187500000000028,74.562500000000014,68.080486574968788,0.46606092998396581,0.45464480874316943,8.5937500000000018,9.2812499999999982,22.562499999999996,23.15625,20.5625,20.593749999999996,0.71732522796352582,10.812499999999998,12.124999999999998,0.71875000000000011,116.31453296503754
